Code,Name,결산월,상장일,시가총액,유통시가총액,"P/E(Adj., FY End)","P/B(Adj., FY End)","P/S(Adj., FY End)","P/FCF1(Adj., FY End)",EV/EBITDA,EV/EBIT,"DPS(보통주, 현금+주식, 연간)",year,수정주가,ROA,비유동부채,자산총계
A054180,중앙오션,6,20011016,20454830780.0,19413679893.0,-3.91,1.71,9.94,-7.67,-5.76,-5.44,0.0,2009,5422,-31.07,3368892.0,21194174.0
A054210,이랜텍,12,20020509,26187600000.0,12067246080.0,10.17,0.23,0.09,-39.72,5.27,8.32,100.0,2009,3755,-3.65,15760111.0,127413795.0
A054220,비츠로시스,3,20011226,38929647085.0,21485272226.0,32.15,0.92,0.49,7.18,12.98,17.01,0.0,2009,2225,0.77,2048663.0,55840825.0
A054300,팬스타엔터프라이즈,12,20020110,22267061210.0,17374987862.0,-1.11,0.56,0.24,-4.7,-2.5,-2.39,0.0,2009,6871,3.49,2994026.0,63517313.0
A054340,피앤텔,12,20020110,168000000000.0,81362400000.0,3.33,0.43,0.27,5.49,-0.44,-0.58,330.0,2009,9340,14.77,6266281.0,160764040.0
A054410,케이피티,12,20020425,9563400000.0,4738664700.0,1.51,0.28,0.2,-1.32,5.78,6.98,0.0,2009,2275,2.75,7078700.0,30186122.0
A054450,텔레칩스,12,20041210,138432704900.0,77494628203.0,3.25,0.79,0.76,7.56,0.71,0.92,80.0,2009,9931,26.27,2840632.0,79946855.0
A054540,삼영엠텍,12,20011115,78012000000.0,58657222800.0,4.16,0.63,0.33,-6.64,4.61,5.49,120.0,2009,8100,8.17,2333706.0,56400609.0
A054620,APS홀딩스,12,20011204,94835921000.0,51714027721.0,13.51,1.53,2.77,-3.2,16.87,37.36,0.0,2009,3185,-10.94,3365900.0,68663094.0
A054630,에이디칩스,12,20011113,38660076000.0,34179373192.0,132.07,1.95,1.01,-16.34,21.74,36.52,0.0,2009,2874,-26.05,831496.0,14290940.0
A054650,뉴젠비아이티,12,20020110,18403927960.0,33789686390.0,-0.13,2.78,2.88,92.92,-0.66,-0.65,0.0,2009,20,-20.0,175000.0,59942668.0
A054670,대한뉴팜,12,20020226,66460878500.0,39989510593.0,10.33,0.77,1.55,6.04,8.88,9.32,0.0,2009,9220,0.81,9574015.0,111879843.0
A054780,키이스트,12,20031114,39196896000.0,24321673968.0,-4.72,2.07,2.51,-20.79,-4.32,-3.85,0.0,2009,2790,-78.9,110041.0,31838160.0
A054800,아이디스홀딩스,12,20010927,187374000000.0,126402500400.0,5.96,1.18,2.04,13.71,3.28,3.71,200.0,2009,10819,26.33,879001.0,108464157.0
A054920,한컴시큐어,12,20011101,20660800000.0,13710506880.0,-2.19,0.27,0.65,-1.3,-4.83,-3.25,0.0,2009,1565,-8.98,4665182.0,75144107.0
A054930,유신,12,20020115,60300000000.0,25748100000.0,9.7,0.74,0.3,7.29,2.05,2.25,600.0,2009,22600,5.27,14877135.0,93758834.0
A054940,엑사이엔씨,12,20011213,147466790880.0,96118854296.0,-2.5,3.09,0.74,-26.63,-7.05,-5.91,0.0,2009,6150,-17.48,23416676.0,78933724.0
A054950,제이브이엠,12,20060607,118387979600.0,59134795810.0,-0.89,25.94,1.3,-1.78,-0.6,-0.59,0.0,2009,37000,15.57,1470836.0,98763721.0
A055250,다휘,12,20011206,9320572220.0,5671568196.0,-0.56,3.34,4.18,-20.81,-0.19,-0.19,0.0,2009,1005,-108.51,87979.0,27946314.0
A056000,신스타임즈,12,20030711,25715070000.0,10113737031.0,4.96,0.34,0.14,-3.83,4.89,9.14,100.0,2009,7570,6.95,2314811.0,59151696.0
A056010,아이스테이션,12,20020813,28684911460.0,21358785073.0,34.07,1.26,0.41,-4.02,18.56,29.7,0.0,2009,10642,-28.17,1488473.0,72225490.0
A056020,쿨투,12,20030704,15113029920.0,14367957545.0,-0.3,6.45,11.76,-0.59,-1.82,-1.77,,2009,5,,,
A056080,유진로봇,12,20011113,40743939340.0,31405428443.0,-3.17,1.19,1.47,-5.86,-5.93,-4.52,0.0,2009,2495,-29.61,7300966.0,31672190.0
A056190,에스에프에이,12,20011218,435458000000.0,278997940600.0,6.05,1.34,0.7,34.66,2.91,3.12,400.0,2009,8483,11.7,19727894.0,377151397.0
A056200,엠넷미디어,12,20020129,81861933660.0,40759056769.0,-0.9,1.69,0.47,-6.82,-2.13,-1.84,0.0,2009,2730,-21.93,1740748.0,173491229.0
A056340,CU전자,12,20021108,20471025900.0,13459699529.0,2.86,0.37,0.71,-2.0,3.22,3.49,0.0,2009,1033,-30.2,5027410.0,28414535.0
A056360,코위버,12,20011204,34288800000.0,20806443840.0,5.28,0.47,0.46,-10.95,2.46,3.02,50.0,2009,2900,13.29,1820990.0,55810775.0
A056700,신화인터텍,12,20011213,129495826980.0,87331985715.0,65.93,0.83,0.2,-19.62,6.88,14.08,50.0,2009,15450,-4.03,29496737.0,166299219.0
A056710,미리넷,12,20020110,161534956800.0,135657056721.0,-2.71,5.13,1.55,-4.4,-9.03,-6.21,0.0,2009,2442,-1.69,96552.0,19914743.0
A056730,포스링크,12,20020104,21727839000.0,16830384089.0,28.68,0.83,0.47,-1.33,23.61,48.04,0.0,2009,23189,9.1,4607102.0,29989714.0
A056810,위다스,12,20020115,34558530000.0,19871154750.0,14.04,0.68,0.94,-3.32,7.26,11.78,0.0,2009,5050,13.8,1834935.0,61723382.0
A056850,코어비트,12,20011220,36196277700.0,32399288169.0,-0.15,0.21,0.54,-1.34,-0.57,-0.54,0.0,2009,730,-29.97,2233978.0,29037596.0
A057030,와이비엠넷,12,20040608,101877600000.0,45946797600.0,8.9,1.36,1.13,8.84,3.07,3.8,600.0,2009,8090,16.66,822523.0,60884682.0
A057100,하이스마텍,12,20021115,9539830500.0,8268171094.0,-0.7,2.3,0.4,-4.73,-1.62,-1.29,0.0,2009,500,-15.93,3000526.0,29249128.0
A057500,SKC 솔믹스,12,20011226,111788991000.0,56531692749.0,9.86,0.81,1.3,-8.62,6.42,10.93,50.0,2009,6607,8.34,14802941.0,66889436.0
A057540,옴니시스템,12,20070919,20944020000.0,14011549380.0,65.13,0.93,0.55,104.03,11.45,31.73,0.0,2009,3430,11.03,2623937.0,28095055.0
A057680,옴니텔,12,20020618,20337812215.0,14779488137.0,48.28,1.06,1.58,-80.02,11.97,24.96,0.0,2009,6990,-28.81,1505232.0,14594468.0
A057880,토필드,12,20031229,63905777780.0,51827585780.0,4.42,0.27,0.4,-1.13,3.01,3.6,0.0,2009,3895,26.26,405343.0,169181314.0
A058220,아리온,12,20050805,7337000000.0,4960545700.0,2.97,0.3,0.19,0.57,0.67,1.41,0.0,2009,490,-4.92,3762047.0,32559787.0
A058370,비엔씨컴퍼니,12,20020219,26921299310.0,23233081305.0,-0.37,3.11,1.09,-2.08,-25.12,-16.8,0.0,2009,57632,-2.0,664656.0,19487853.0
A058420,제이웨이,12,20020110,22056178560.0,10359787070.0,-2.19,2.32,2.02,-1.37,36.34,-28.44,0.0,2009,6869,-34.84,3739160.0,38928479.0
A058430,포스코강판,12,20020816,145800000000.0,62883540000.0,-2.05,0.46,0.1,1.67,-2.41,-1.41,500.0,2009,24300,2.31,39043034.0,403992653.0
A058450,일야,12,20020117,21907200000.0,12167258880.0,2.41,0.6,0.12,4.43,0.15,0.2,60.0,2009,1797,6.62,1357255.0,24402024.0
A058470,리노공업,12,20011218,104691015000.0,55067473890.0,6.56,1.1,1.73,6.92,2.7,3.23,500.0,2009,7900,20.0,129779.0,67252875.0
A058480,해원에스티,12,20020115,30243909555.0,15475808519.0,19.04,0.73,0.09,49.57,10.61,12.41,0.0,2009,930,-1.95,323606.0,114443372.0
A058530,크레아플래닛,12,20020205,29118371720.0,23652853348.0,-6.78,0.95,2.04,-10.13,-14.26,-9.69,0.0,2009,1317,1.61,9157277.0,32522633.0
A058550,네오리소스,12,20020507,6899613800.0,5962646246.0,-0.02,-0.7,3.34,-0.04,-0.49,-0.48,0.0,2009,110,-61.35,3329.0,16527255.0
A058610,에스피지,12,20020723,47392800000.0,27549434640.0,3.37,0.61,0.39,-13.2,2.99,3.45,150.0,2009,8049,4.7,3466835.0,75648970.0
A058630,엠게임,12,20081219,151880572200.0,92388952069.0,5.29,1.23,1.01,28.2,3.37,4.3,0.0,2009,10321,22.7,587552.0,50950219.0
A058650,세아홀딩스,12,20010730,249840000000.0,49718160000.0,2.37,0.31,1.97,1.94,3.43,3.44,500.0,2009,59800,8.47,106510497.0,793760409.0
A058690,퓨쳐인포넷,12,20031229,25515887400.0,15176849826.0,-0.27,0.37,0.43,-1.04,-2.48,-2.35,0.0,2009,985,-6.09,3282842.0,37015791.0
A058730,동아에스텍,12,20040802,29890000000.0,14478716000.0,-22.74,0.61,0.48,-1.11,-86.58,-30.44,125.0,2009,2583,10.0,384767.0,58073765.0
A058820,CMG제약,12,20010831,43772914665.0,31809777087.0,-3.38,0.71,1.46,-1.3,-4.41,-4.02,0.0,2009,1315,-5.55,,22073704.0
A058900,투미비티,12,20041029,14867282220.0,13172412047.0,-0.04,0.03,0.15,-0.02,-0.93,-0.9,0.0,2009,420,-160.66,9994279.0,13261660.0
A059090,미코,12,20020115,27270224960.0,13648747592.0,-2.78,0.56,0.38,-4.51,-65.49,-9.71,0.0,2009,1545,-0.79,29112787.0,99875396.0
A059100,아이컴포넌트,12,20081216,18832022340.0,12815191202.0,7.51,0.83,0.54,-1.64,5.61,9.3,50.0,2009,7000,7.33,4820205.0,28000802.0
A059210,메타바이오메드,12,20080415,34000000000.0,21981000000.0,6.29,0.84,0.87,39.85,4.33,6.01,100.0,2009,2381,17.55,1951195.0,20309790.0
A059720,야호,12,20020117,8550676320.0,8255677987.0,-0.58,6.93,1.46,0.91,-0.65,-0.64,,2009,40,-62.71,11822118.0,32151225.0
A060150,인선이엔티,12,20020614,211233750000.0,142498287750.0,10.73,1.21,1.09,-1448.25,5.13,8.5,100.0,2009,5200,9.01,11703282.0,139525726.0
A060230,이그잭스,12,20020625,25939984310.0,23291511912.0,-1.79,0.63,1.74,-2.6,-2.05,-1.96,0.0,2009,9661,-42.55,12798.0,22101251.0
A060240,룽투코리아,12,20020104,46032989640.0,21865670079.0,-11.33,0.84,2.09,9.59,-21.94,-2.31,0.0,2009,10347,2.4,1109229.0,24921454.0
A060250,NHN한국사이버결제,12,20020108,21580041280.0,13114191086.0,10.29,1.93,0.3,-52.91,1.7,4.95,0.0,2009,1409,3.78,709907.0,27918853.0
A060260,뉴보텍,12,20020205,22129413960.0,20350209078.0,15.4,1.14,0.45,-23.37,6.81,14.21,0.0,2009,775,-5.09,2675728.0,31066372.0
A060280,큐렉소,12,20020703,161760631760.0,121466058389.0,-22.88,5.62,27.38,-68.37,-25.76,-21.01,0.0,2009,9716,-3.01,49870.0,31517682.0
A060300,레드로버,12,20020110,8155560280.0,5231791920.0,-2.92,2.15,0.69,-4.67,-2.36,-1.92,0.0,2009,2979,-12.87,1057940.0,10921709.0
A060310,3S,3,20020423,21265291250.0,18419995281.0,-3.02,1.05,1.17,-1.99,-8.49,-7.59,0.0,2009,1163,-21.48,5220468.0,15893032.0
A060370,KT서브마린,12,20020215,38982000000.0,22196350800.0,42.05,0.54,0.41,-0.8,4.84,16.07,500.0,2009,3040,15.84,832644.0,68980131.0
A060380,동양에스텍,12,20020205,34050000000.0,15952425000.0,2.4,0.49,0.11,-8.18,2.25,2.36,100.0,2009,3030,4.53,5521505.0,91850070.0
A060540,에스에이티,12,20061128,10742633090.0,7993593282.0,-45.16,0.44,0.43,-1.29,33.44,124.4,0.0,2009,1987,-6.3,19340326.0,49487455.0
A060560,홈센타홀딩스,12,20020711,88463160000.0,67329311076.0,48.07,1.56,0.99,-18.23,20.29,30.54,0.0,2009,2305,1.5,5801577.0,75162609.0
A060570,아이리버,12,20031219,99596157045.0,54050834428.0,13.77,0.41,0.29,-3.6,5.64,12.0,0.0,2009,3815,0.81,9985606.0,163366627.0
A060590,씨티씨바이오,12,20020221,58361646880.0,35664802408.0,-111.45,0.88,0.44,-3.75,22.98,136.71,100.0,2009,4330,2.9,2345320.0,43422871.0
A060670,유퍼트,12,20030617,32832258480.0,27644761640.0,-1.67,1.66,0.46,-4.81,-8.0,-4.7,0.0,2009,2969,-10.56,6256793.0,54154535.0
A060720,KH바텍,12,20020521,186400000000.0,119053680000.0,3.02,0.9,0.45,10.41,1.56,1.8,500.0,2009,19448,-3.42,3034348.0,110835553.0
A060750,제이콤,12,20020411,169182286920.0,107413833966.0,-11.51,3.64,5.73,102.11,-14.75,-14.55,0.0,2009,3905,-42.37,1931516.0,14197235.0
A060900,퍼시픽바이오,12,20020917,10916990250.0,9360227440.0,-0.4,0.35,3.44,-0.19,-3.05,-2.73,0.0,2009,4808,-309.5,4241013.0,8633516.0
A060910,프리젠,12,20021213,7477723680.0,6853333753.0,-0.27,5.84,1.46,19.22,-0.81,-0.76,0.0,2009,4971,-34.88,9920927.0,65060647.0
A061040,알에프텍,12,20020516,23729437500.0,13758327863.0,-2.63,0.29,0.16,-4.95,-6.61,-4.21,100.0,2009,3292,0.27,1481090.0,72700370.0
A061050,지앤디윈텍,12,20030106,38391146030.0,31012367763.0,-0.71,1.06,0.28,-38.98,-2.65,-2.41,0.0,2009,7131,-10.25,3285240.0,35227382.0
A061140,엘앤피아너스,12,20041029,27364791040.0,22378926113.0,-0.17,0.24,1.3,-0.19,-0.73,-0.71,0.0,2009,1805,-36.66,2296126.0,99726787.0
A061250,화일약품,12,20020418,61577930680.0,35899933586.0,7.03,0.72,0.59,-5.16,5.9,7.17,0.0,2009,4535,8.64,3486279.0,57760361.0
A061460,한진피앤씨,12,20020411,148646832000.0,73223429443.0,80.06,2.36,1.53,-10.06,17.55,51.32,50.0,2009,13396,1.94,12805743.0,70244918.0
A062730,케너텍,12,20030523,57472767165.0,42828706091.0,-1.08,2.8,0.76,-1.33,-2.87,-2.66,0.0,2009,45,6.6,17247773.0,171208735.0
A062860,티엘아이,12,20060725,114047708750.0,88660688782.0,5.11,0.66,0.49,5.47,1.45,2.05,500.0,2009,14900,13.09,200000.0,52415035.0
A063160,종근당바이오,12,20011211,80272656150.0,55733305165.0,2.57,0.46,0.27,5.73,2.23,3.21,300.0,2009,15826,-3.65,3004323.0,84953645.0
A063170,서울옥션,12,20080701,67980000000.0,42297156000.0,22.52,0.61,1.83,-1.53,11.94,13.25,0.0,2009,2800,32.36,430996.0,39194968.0
A063280,사이버패스,12,20060704,12747688195.0,9857787281.0,-0.14,1.27,0.45,-0.19,-0.57,-0.56,,2009,15,7.23,5121823.0,45929988.0
A063440,에프엔씨애드컬쳐,12,20020530,37200000000.0,27896280000.0,61.61,0.75,1.11,9.11,16.78,39.74,0.0,2009,3885,-4.19,2989189.0,39370047.0
A063570,한국전자금융,12,20060714,97110000000.0,51050727000.0,7.78,1.19,0.63,-14.94,3.17,5.09,100.0,2009,2790,16.35,1806800.0,65107003.0
A064060,사이노젠,12,20020730,11470263700.0,9023656453.0,-0.27,0.18,1.33,-0.37,-0.89,-0.83,0.0,2009,1236,-92.23,2082344.0,36720196.0
A064090,에프앤리퍼블릭,12,20021217,10159283845.0,6932695296.0,-2.12,1.03,0.27,47.32,-9.39,-6.99,0.0,2009,1669,-82.09,3682271.0,26525382.0
A064240,홈캐스트,12,20030611,46373250000.0,36764712600.0,2.32,0.42,0.12,1.91,1.3,1.61,0.0,2009,3455,0.5,1959357.0,60518249.0
A064260,다날,12,20040723,42840445310.0,29275986291.0,-7.66,0.41,0.3,9.03,-11.04,-5.43,25.0,2009,10110,0.91,1621721.0,81158071.0
A064420,케이피케미칼,12,20020621,643129094280.0,309538033077.0,-126.05,0.69,0.21,-43.06,5.92,-6.64,150.0,2009,7660,3.58,5739225.0,1001661051.0
A064480,브리지텍,12,20080604,17562187500.0,10530287625.0,4.41,0.64,0.38,7.9,0.17,0.23,250.0,2009,2719,20.92,875987.0,16861165.0
A064520,바른전자,12,20021204,49470085455.0,27055189735.0,6.05,0.79,0.2,-1.95,7.63,10.74,0.0,2009,2468,12.16,289985.0,21835372.0
A064550,바이오니아,12,20051229,40860000000.0,27286308000.0,-4.94,0.51,1.18,-3.1,108.18,-11.5,0.0,2009,5428,-11.39,7210226.0,54379059.0
A064760,티씨케이,12,20030818,106826250000.0,33650268750.0,10.39,1.63,2.11,10.64,6.71,9.16,100.0,2009,8950,18.87,166500.0,41366033.0
A064800,필링크,12,20020822,26841780000.0,15788334996.0,9.47,0.76,0.94,10.32,2.94,3.88,50.0,2009,925,4.16,66355.0,32355418.0
A064820,케이프,12,20070529,158400000000.0,77061600000.0,-17.33,0.88,2.23,-1.98,-26.92,-18.41,100.0,2009,6322,14.35,36831533.0,122259421.0
A064960,S&T모티브,12,20020311,212989783800.0,100573775910.0,3.37,0.34,0.23,1.56,1.54,2.05,0.0,2009,29800,9.8,32807858.0,498702627.0
A065060,지엔코,12,20020528,21381984435.0,13137091237.0,-0.93,0.33,0.16,1.12,-6.97,-5.42,0.0,2009,1872,-18.54,15953487.0,81749575.0
A065130,탑엔지니어링,12,20030129,98690000000.0,70839682000.0,10.98,0.64,0.48,-9.83,10.21,12.9,100.0,2009,8500,3.0,333919.0,93499918.0
A065150,MP그룹,12,20070718,15086616000.0,5473424285.0,-9.76,0.45,0.83,1.82,-15.23,-4.49,10.0,2009,2400,16.3,927982.0,25201971.0
A065160,에프티이앤이,12,20020730,86755452330.0,49138288200.0,-1.06,0.83,0.66,-7.88,-0.65,-0.64,0.0,2009,3272,-8.63,1240986.0,110605869.0
A065170,넥스트BT,12,20021119,25865592960.0,20151883475.0,-0.99,0.84,0.55,-9.83,-2.51,-2.36,0.0,2009,949,-0.71,2190566.0,43691058.0
A065270,플렉스컴,12,20021023,40296625200.0,18745990043.0,-8.59,0.66,0.99,-11.81,40.55,-20.88,0.0,2009,6300,-15.75,12289491.0,40227989.0
A065340,쓰리디월드,12,20020926,16076197830.0,14230650319.0,-0.25,0.34,0.13,-0.27,-3.45,-2.99,0.0,2009,1125,6.59,7167033.0,68745077.0
A065350,신성델타테크,12,20040806,66360000000.0,39132492000.0,4.73,0.57,0.28,-17.37,3.83,5.55,125.0,2009,4680,8.08,15571331.0,102275727.0
A065410,지엔텍홀딩스,12,20020801,61172732700.0,51030293618.0,-1.31,1.24,2.66,-2.04,-4.87,-4.49,0.0,2009,1145,-8.51,97975.0,107442261.0
A065420,에스아이리소스,12,20020822,4345171125.0,2757880113.0,-0.2,0.85,0.43,-1.01,-0.46,-0.45,0.0,2009,321,-113.04,5000.0,22631771.0
A065440,이루온,12,20030128,13473049500.0,9386673587.0,-1.9,0.45,0.32,3.67,-12.54,-3.05,0.0,2009,2120,1.62,1263910.0,37825117.0
A065450,빅텍,12,20030205,52725750000.0,24907644300.0,9.02,1.41,0.67,11.02,4.12,7.64,80.0,2009,2505,11.0,4331859.0,32730686.0
A065500,오리엔트정공,12,20020919,25289039400.0,30867912721.0,3.97,0.8,0.25,-4.01,1.22,1.55,25.0,2009,7199,14.71,4288203.0,39745197.0
A065510,휴비츠,12,20031031,35279676000.0,20652722330.0,3.86,0.62,0.51,-8.24,2.98,4.53,100.0,2009,4270,8.17,6288836.0,32306784.0
A065530,전파기지국,12,20020604,31028820000.0,16228072860.0,5.97,0.58,0.38,-2.65,1.71,5.69,500.0,2009,672,4.24,31788262.0,99417530.0
A065560,녹원씨엔아이,12,20030701,10869523000.0,5758673285.0,-3.53,1.9,0.38,-10.83,-5.55,-4.34,40.0,2009,8039,-6.09,950000.0,20625203.0
A065570,삼영이엔씨,12,20030121,54032000000.0,36612083200.0,4.77,1.02,1.1,4.64,3.36,4.14,200.0,2009,7070,4.33,2143236.0,54518980.0
A065610,폴리플러스,12,20021206,111355365000.0,79296155417.0,-25.26,8.98,8.17,-210.39,-37.55,-31.23,0.0,2009,2730,-13.27,637139.0,46785522.0
A065620,제낙스,12,20020627,8970000000.0,3775473000.0,-1.16,0.36,0.15,-2.02,-12.44,-9.09,0.0,2009,840,0.54,5227962.0,35271187.0
A065650,메디프론,12,20030121,40621509145.0,33480247837.0,-3.84,0.98,3.2,-75.59,-4.39,-4.29,0.0,2009,4758,-6.23,71503.0,44773296.0
A065680,우주일렉트로,12,20040102,116824832000.0,72887012685.0,5.31,0.94,0.54,8.42,2.53,4.2,200.0,2009,22200,19.62,2751705.0,67464988.0
A065690,대진디엠피,12,20020716,143910000000.0,79668576000.0,4.93,1.1,1.04,14.52,1.76,2.01,230.0,2009,9390,17.6,54405.0,57843868.0
A065710,서호전기,12,20020716,53045000000.0,16894832500.0,1.83,0.86,0.44,11.71,0.95,0.95,300.0,2009,7480,11.71,425347.0,33987893.0
A065770,CS,12,20040604,29100000000.0,19904400000.0,-108.24,0.51,0.51,-3.46,-22.19,-10.76,40.0,2009,3430,10.92,1372765.0,54296683.0
A065910,PW제네틱스,12,20030110,429624340.0,374503537.0,-0.31,5.48,4.5,-2.47,-0.92,-0.91,,2009,5,,,
A065940,바이오빌,12,20030107,12545000000.0,2393586000.0,-6.7,0.35,0.78,-4.16,1.92,1.51,100.0,2009,1190,2.46,719313.0,29365824.0
A065950,웰크론,12,20030729,19826678400.0,15585751890.0,-2.0,0.3,0.16,2.6,-143.34,-11.59,0.0,2009,3830,-4.64,9166053.0,53261875.0
A066060,휴먼텍코리아,12,20020816,56000000000.0,38802400000.0,64.03,1.23,0.29,-2.52,186.74,468.15,0.0,2009,1807,4.25,478033.0,94853889.0
A066110,한프,12,20020716,26163000000.0,13986739800.0,-0.95,0.35,0.26,-2.55,-2.86,-1.72,100.0,2009,4099,-3.87,3748910.0,71398604.0
A066130,하츠,12,20030211,26432000000.0,12819520000.0,4.85,0.32,0.26,34.53,1.72,2.48,30.0,2009,2085,8.89,2998896.0,66347241.0
A066270,SK컴즈,12,20031107,436747694600.0,136046906868.0,-10.8,1.09,1.21,-14.51,15.09,-8.93,0.0,2009,15600,-16.22,10170371.0,306538575.0
A066300,샤인시스템,12,20020925,10018772600.0,8887653173.0,-0.21,-0.62,0.45,10.02,-0.73,-0.7,0.0,2009,1715,-21.59,7289251.0,74197643.0
A066310,큐에스아이,12,20061124,29427915600.0,16579687649.0,9.66,0.44,0.73,6.34,2.15,6.6,0.0,2009,2680,3.19,622675.0,29161306.0
A066340,케이에스알,12,20030207,132665548680.0,76242890826.0,22.18,1.48,25.19,-11.98,17.19,18.41,0.0,2009,1845,-39.3,,66795949.0
A066350,티에스엠텍,12,20030121,157794271400.0,111940827378.0,16.79,0.75,0.29,-1.95,14.98,20.28,0.0,2009,11883,5.86,14073146.0,161838950.0
A066410,투윈글로벌,12,20031219,17405536920.0,9351994987.0,-1.48,0.66,0.59,-7.74,-0.52,-0.51,0.0,2009,6385,-14.35,283892.0,24399184.0
A066430,와이오엠,12,20021224,15061854300.0,12942651400.0,-0.13,3.19,1.66,-0.43,-0.27,-0.26,0.0,2009,67712,-55.63,,35132803.0
A066570,LG전자,12,20020422,14681753121000.0,9493221568039.0,25.07,1.43,0.44,19.82,10.18,23.62,1750.0,2009,118738,8.87,2704472000.0,14337805000.0
A066590,우수AMS,12,20030212,12128480000.0,7109714976.0,-4.45,0.27,0.09,-5.28,2.5,-8.62,0.0,2009,777,4.36,514816.0,48198239.0
A066620,국보디자인,12,20020905,19987500000.0,8518672500.0,4.65,0.48,0.14,-4.13,1.7,1.73,150.0,2009,2815,8.79,1113301.0,58378214.0
A066670,디스플레이텍,12,20021230,21631950000.0,13805510490.0,23.23,0.2,0.06,0.56,-0.38,-2.9,100.0,2009,3461,4.47,8193215.0,85828759.0
A066690,보광티에스,12,20081006,11332361860.0,7880524437.0,6.8,0.72,0.88,-8.26,2.15,2.85,25.0,2009,2116,17.34,426274.0,13271812.0
A066700,테라젠이텍스,12,20040527,42730440805.0,28740494485.0,-24.44,1.22,1.07,4.87,49.04,122.36,0.0,2009,5400,-13.72,12280764.0,21539493.0
A066790,씨씨에스,12,20030530,46985840000.0,6657893528.0,148.43,1.1,2.39,-87.83,8.18,34.48,0.0,2009,850,6.57,154520.0,36422651.0
A066850,아이드림,12,20030806,6646240650.0,3948531570.0,-0.77,4.27,0.39,-2.19,61.68,111.51,,2009,10,1.44,6100902.0,44665380.0
A066900,디에이피,12,20040514,30360000000.0,24661428000.0,1.15,0.4,0.05,0.73,2.12,5.47,0.0,2009,2025,1.06,24132276.0,110448530.0
A066910,손오공,12,20050107,29300000000.0,16598450000.0,-1.05,0.46,0.3,-3.63,-5.78,-3.98,0.0,2009,3948,0.12,8768173.0,116837347.0
A066930,에스디,12,20030124,183600000000.0,117485640000.0,8.34,1.41,1.8,31.49,5.97,7.69,500.0,2009,31900,18.56,1128250.0,50522615.0
A066970,엘앤에프,12,20030102,462893200000.0,348928894160.0,105.74,5.24,2.42,-7.55,49.69,126.29,50.0,2009,19775,-16.63,290968.0,29773774.0
A066980,브레인콘텐츠,12,20030117,51288322000.0,42276963825.0,-1.45,0.99,0.62,-114.45,-4.0,-3.32,0.0,2009,2381,-1.62,11730302.0,38990548.0
A067000,조이시티,12,20080530,31580016000.0,13847837016.0,-3.67,0.36,0.93,-3.4,2.29,1.99,100.0,2009,3602,20.43,2835950.0,33771274.0
A067010,이씨에스,3,20071218,20400000000.0,10656960000.0,6.11,0.63,0.49,-12.05,1.64,2.11,100.0,2009,1072,14.39,29465.0,25390045.0
A067080,대화제약,12,20030214,49322491680.0,23807966734.0,12.96,0.57,0.54,-1.6,7.74,10.72,100.0,2009,2770,5.34,6286396.0,62649630.0
A067160,아프리카TV,12,20031219,63925355475.0,37620071697.0,7.48,0.72,0.53,-46.57,2.26,3.68,60.0,2009,8297,5.88,3387682.0,62831133.0
A067170,오텍,12,20031114,23901691000.0,15949598404.0,7.09,0.68,0.35,-7.29,4.69,6.46,50.0,2009,3000,7.27,6834582.0,43522305.0
A067250,STX조선해양,12,20031027,1256400000000.0,756855360000.0,14.38,0.44,0.21,0.75,45.55,-75.99,200.0,2009,42800,5.82,1455600621.0,3529147451.0
A067280,멀티캠퍼스,12,20061116,242021200000.0,94460874360.0,50.72,4.09,4.21,201.17,38.97,49.73,150.0,2009,57300,15.05,564450.0,79096130.0
A067290,JW신약,12,20030211,68112462600.0,42985775147.0,-4.66,1.09,2.3,-5.52,-5.63,-5.33,35.0,2009,3027,-5.44,4332605.0,46336584.0
A067310,하나마이크론,12,20051011,35244000000.0,19144540800.0,-2.32,0.43,0.15,2.11,4.98,-14.81,0.0,2009,6400,2.52,29174429.0,141546656.0
A067630,에이치엘비생명과학,12,20081125,29752890960.0,17973721429.0,3.8,0.92,0.25,-1.17,4.92,5.03,0.0,2009,2689,7.51,1387942.0,28193184.0
A067770,세진티에스,12,20040109,21243380290.0,9695478764.0,3.53,0.34,0.6,3.47,-2.19,-2.74,100.0,2009,2780,10.36,606188.0,48826537.0
A067830,세이브존I&C,12,20020725,59714502225.0,27116355460.0,171.11,0.3,0.3,-2.57,5.52,9.1,0.0,2009,2245,1.45,33373001.0,244010578.0
A067850,바이나믹,12,20051005,12508734720.0,10671201590.0,-1.1,0.65,0.93,-0.83,-2.22,-2.16,0.0,2009,510,-33.19,220063.0,30380293.0
A067900,와이엔텍,12,20051223,36560087200.0,20448056771.0,-10.19,0.66,0.78,-2.92,13.76,-2838.34,0.0,2009,2083,5.1,9503763.0,47972866.0
A067950,티이씨,12,20040126,5562641875.0,5282840989.0,-0.04,0.35,0.07,-0.08,-0.46,-0.44,0.0,2009,125,-29.08,5829591.0,38602240.0
A067990,도이치모터스,12,20041203,42390426600.0,18520377382.0,-4.77,9.45,0.14,2.49,-38.77,-15.92,0.0,2009,2155,-21.23,15309.0,16888854.0
A068050,팬엔터테인먼트,12,20060707,13774730000.0,8026535171.0,-153.5,0.52,0.65,20.31,13.59,-44.46,0.0,2009,3495,1.52,127657.0,24382566.0
